,OccBeds,MaxBeds,OccCovBeds,CovLvl3Beds,MaxCovBeds,FreeNurse,Wait,CovWait,CovArrive,CovNotTreated,CovDeaths,SideroomWard,SideroomITU,WardBeds,CovWardBeds,run,CovLvl2Beds
155,5.633333,10,23.213333,13.046667,2706,3455.413333,0.02,0,4.96,0,0.813333,0,1.306667,11.726667,32.786667,75.5,10.166667
156,5.566667,10,22.1,12.433333,2706,3457.333333,0.026667,0,5.026667,0,0.746667,0,1.26,11.873333,30.8,75.5,9.666667
157,5.553333,10,21.046667,11.84,2706,3459.12,0.033333,0,3.846667,0,0.72,0,1.186667,11.9,28.986667,75.5,9.206667
158,5.473333,10,19.86,11.12,2706,3461.24,0.06,0.026667,3.713333,0,0.613333,0,0.946667,12.013333,27.473333,75.5,8.74
159,5.553333,10,18.933333,10.633333,2706,3462.74,0.053333,0.006667,4.046667,0,0.666667,0,1.2,11.913333,26.14,75.5,8.3
160,5.553333,10,18.266667,10.186667,2706,3463.913333,0.053333,0.006667,3.86,0,0.613333,0,1.18,11.986667,24.726667,75.5,8.08
161,5.44,10,17.693333,9.926667,2706,3465.146667,0.046667,0.013333,4.053333,0,0.44,0,1.113333,12.173333,23.66,75.5,7.766667
162,5.34,10,16.66,9.353333,2706,3466.84,0.033333,0,2.96,0,0.553333,0,0.7,12.32,22.28,75.5,7.306667
163,5.353333,10,15.906667,8.893333,2706,3468.106667,0.04,0.006667,3.013333,0,0.453333,0,0.826667,12.186667,21.153333,75.5,7.013333
164,5.486667,10,14.853333,8.326667,2706,3469.68,0.053333,0.006667,2.966667,0,0.453333,0,0.553333,12.166667,20.133333,75.5,6.526667
165,5.506667,10,14.026667,7.82,2706,3470.853333,0.04,0,3.033333,0,0.426667,0,0.66,12.186667,19.133333,75.5,6.206667
166,5.74,10,13.36,7.54,2706,3471.773333,0.02,0.006667,2.893333,0,0.426667,0,0.826667,12.073333,18.14,75.5,5.82
167,5.666667,10,12.833333,7.226667,2706,3472.746667,0.053333,0,3.1,0,0.38,0,0.773333,12.033333,17.2,75.5,5.606667
168,5.673333,10,12.493333,7.02,2706,3473.413333,0.08,0.006667,3.16,0,0.38,0,0.94,11.946667,16.2,75.5,5.473333
169,5.566667,10,11.74,6.686667,2706,3474.626667,0.04,0.006667,2.046667,0,0.36,0,0.5,12.12,15.48,75.5,5.053333
170,5.62,10,11,6.16,2706,3475.666667,0.066667,0,1.9,0,0.426667,0,0.44,11.953333,14.706667,75.5,4.84
171,5.646667,10,10.473333,5.786667,2706,3476.593333,0.046667,0,2.033333,0,0.326667,0,0.52,11.92,13.96,75.5,4.686667
172,5.52,10,9.926667,5.52,2706,3477.633333,0.04,0,2.1,0,0.34,0,0.573333,11.86,13.3,75.5,4.406667
173,5.626667,10,9.413333,5.253333,2706,3478.466667,0.06,0.006667,1.853333,0,0.313333,0,0.48,11.86,12.573333,75.5,4.16
174,5.666667,10,9.086667,5.006667,2706,3478.973333,0.08,0.006667,2.113333,0,0.24,0,0.553333,11.933333,11.946667,75.5,4.08
175,5.646667,10,8.453333,4.74,2706,3480.033333,0.04,0,1.833333,0,0.333333,0,0.453333,11.893333,11.493333,75.5,3.713333
176,5.593333,10,8.153333,4.626667,2706,3480.713333,0.04,0.006667,2.033333,0,0.253333,0,0.54,11.98,10.906667,75.5,3.526667
177,5.58,10,7.9,4.506667,2706,3481.126667,0.013333,0,2.04,0,0.26,0,0.573333,11.986667,10.42,75.5,3.393333
178,5.513333,10,7.74,4.406667,2706,3481.56,0.026667,0,2.046667,0,0.253333,0,0.6,12.06,9.853333,75.5,3.333333
179,5.42,10,7.486667,4.333333,2706,3482.033333,0.026667,0,2.033333,0,0.253333,0,0.52,12.006667,9.386667,75.5,3.153333
180,5.546667,10,7.046667,4.04,2706,3482.566667,0.02,0,1.006667,0,0.213333,0,0.233333,12.073333,8.853333,75.5,3.006667
181,5.6,10,6.633333,3.793333,2706,3483.173333,0.026667,0.013333,0.966667,0,0.18,0,0.26,11.9,8.526667,75.5,2.84
182,5.733333,10,6.24,3.64,2706,3483.673333,0.033333,0.006667,0.82,0,0.226667,0,0.28,11.793333,8.126667,75.5,2.6
183,5.606667,10,5.866667,3.466667,2706,3484.333333,0.013333,0.006667,1.013333,0,0.153333,0,0.233333,11.766667,7.64,75.5,2.4
184,5.68,10,5.653333,3.373333,2706,3484.633333,0.046667,0.006667,1.066667,0,0.14,0,0.34,11.606667,7.333333,75.5,2.28
185,5.633333,10,5.24,3.033333,2706,3485.36,0,0,1,0,0.246667,0,0.206667,11.573333,6.926667,75.5,2.206667
186,5.72,10,5.06,2.94,2706,3485.653333,0.026667,0,0.96,0,0.173333,0,0.313333,11.74,6.546667,75.5,2.12
187,5.54,10,4.92,2.813333,2706,3486.046667,0.02,0,1.04,0,0.126667,0,0.286667,11.806667,6.24,75.5,2.106667
